City/province name (CN),City/province name (EN),Province,Year,"1.1. Total production capacity (10,000 cubic metres/day)","1.2. Of which how much is groundwater (10,000 cubic metres/day)",1.3. Number of plants (units),1.4. Of which how many are groundwater water treatment plants (units),"2.1. Total water supply volume / year (10,000 cubic metres/year)","2.2. Average supply per day (10,000 cubic metres/day)","2.3. Maximum supplied in a day (10,000 cubic metres/day)","3.1. Total Volume of water sold (10,000 cubic metres/year)","3.2. Of which Domestic/residential water (10,000 cubic metres/year)","3.3. Of which Administrative water (10,000 cubic metres/year)","3.4. Of which Industrial (10,000 cubic metres/year)","3.5. Of which Commercial (10,000 cubic metres/year)","3.6. Of which Special sectors (10,000 cubic metres/year)","3.7. Of which Other (10,000 cubic metres/year)",4. Water sold / water produced (%),5.1. Coverage rate of urban water supply (%),"5.2. Total city population (10,000s)","5.3. Total city population with water access (10,000s)",6.1. Average water use for all purposes (L/person*day),6.2. Average water use for residential/household/living purposes (L/person*day),7.1. Plants under construction (units),"7.2. Capacity of plants under construction (10,000 cubic metres/day)",8.1. Total pipe length (km),8.2. Of which are sourcing water (km),8.3. Of which are supplying water (km),8.4. of which how much length is for piping 75mm diameter and above (km),"9. Loss and leakage volume (10,000 cubic metres)",10. Loss and leakage rate (%),11. Pipe network density (km of pipe/square kilometer of network area）,12.1. Material: Ductile iron (km),12.2. Material: Steel piping (km),12.3. Material: Cast Iron (km),12.4. Material: PCCP (km),12.5. Material: Plastic (km),12.6. Material: Asbestos cement (km),12.7 Material: Other materials (km),13.1. Total number of water meters (units),13.2. Of which Domestic/residential,13.3. Of which Industrial,13.4. Of which Other,14.1. Overall rate of water that meets standard (%),14.2. turbidity rate meeting standard (%),14.3. Colour  rate of meeting standard (%),14.4. Odor  rate of meeting standard (%),14.5. Residual chlorine  rate of meeting standard (%),14.6. Bacterial contamination rate meeting standards (%),14.7. Total coliform contamination rate meeting standard (%),14.8. Oxygen demand (CODMn) meeting standard rate (%),15.1. Rate at which pressure in water distribution system meets the standard (%),15.2. Average pressure in water distribution system (Mpa),"16.1. Percentage of total water supply area is taken up by low pressure are, ratio (%)",16.2. Total water supply area (square km）,16.3. Total low pressure area (square km),"17.1. Total electricity use (10,000 kWh)","17.2. Electricity use for water production (1,000 kWh/1,000 cubic metre)","17.3. Electricity use for water distribution (1,000 kWh/1,000 cubic metre*Mpa)",18.1. Mixed flocculant consumption (kg),"18.2. Coagulant consumption per unit of water (kg / 1,000 cubic meters)",19.1. Total disinfectant consumption (kg),"19.2. Disinfectant consumption per unit water (kg / 1,000 cubic meters)","20.1. Original value (10,000 yuan)","20.2. Net worth (10,000 yuan)","21. Sales revenue (10,000 yuan)",22.1. Total profit,22.2. Net profit,Loss,23. Unit water sales cost (yuan / thousand m3),"24. Total wages (10,000 yuan)",25.1. Total employees (persons),25.2. Of which On-duty workers,25.3. Of which Other personel,25.4. Of which professional and technical personnel,27.1. Residential drinking water Current price or standard (yuan/cubic meter),27.2. Residential drinking water Original price or standard (yuan/cubic meter),28.1. Administrative water Current price or standard  (yuan/cubic meter),28.2. Administrative water Original price or standard (yuan/cubic meter),29.1. Industrial water Current price or standard (yuan/cubic meter),29.2. Industrial water Original price or standard (yuan/cubic meter),30.1. Business services water Current price or standard (yuan/cubic meter),30.2. Business services water Original price or standard (yuan/cubic meter),31.1. Special industry water Current price or standard (yuan/cubic meter),31.2. Special industry water Original price or standard (yuan/cubic meter),32.1. Unit average water Current price or standard (yuan/cubic meter),32.2. Unit average water Original price or standard (yuan/cubic meter)
江宁区,Jiangning District,Jiangsu,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江浦区,Jiangpu District,Jiangsu,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江阴,Jiangyin,Jiangsu,2003,50,,2,,13848.85,37.94,45.62,12466.51,4730.3,888.08,1160.47,,,,0.90018377,90.72,76.41,69.32,493,447,,,632,,632,632,1382.34,9.98,13,55,63,118,164,3,,10,50173,45225,,,100,100,,,,100,100,100,100,0.25,,,,2536.36,174.06,441.95,833275,5.65,203985,1.4,42226,41051,11874,2785,1838,,784,1176,312,312,,93,1.75,1.25,1.75,1.25,2.2,1.65,2.5,1.95,,,,
宜兴,Yixing,Jiangsu,2003,15,,2,,2471.4,7.1,8.6,1711.01,1004.45,78.13,103.41,174.3,82.22,268.5,0.692324189,100,,,,,,,,,,,760.4,30.8,,,,,,,,,63011,56710,,,100,100,,,,100,100,100,100,0.3,,,,444.45,,,503214,20.4,109265,4.42,7797,6147,1452,423,3,,1280,264,195,175,20,89,2.8,1.8,,,3.2,2.2,3.25,2.25,3.35,2.35,2.96,1.96
镇江,Zhenjiang,Jiangsu,2003,40,,2,,7718,21.14,25.22,6026,2697,560,1935,513,70,251,0.780772221,85.94,64,55,300,134,,,666,5,661,350,1039,13.46,11.48,66,33,130,65,7,,2,92893,91153,,,100,100,,,,100,100,100,100,0.3,,58,,2071,268,404,2838196,35.03,170546,2.1,43289,33314,7274,10,-10,,592,1284,522,522,,143,1.95,1.4,2.15,1.6,2.25,1.7,2.48,1.93,2.75,2.2,,
丹阳,Danyang,Jiangsu,2003,15,,2,,1792.06,4.91,,1523,444,,1079,,,,0.849859938,100,18,18,,,,,269,28,241,241,,,,241,,,,,,,,,,,100,100,,,,100,100,100,100,0.35,,,,359,158,451,155625,6.38,43470,1.87,12674,7703,2337,193,193,,1710,380,329,292,37,78,1.7,1.12,2.2,1.7,2.2,1.7,2.2,1.7,,,,
句容,Jurong,Jiangsu,2003,10,,2,,1185,5,7.5,672,331,,162,39,108,32,0.567088608,100,14,14,,,2,10,172,,172,,313,26,,,4.6,696,62.69,108,,30.74,3915,3820,,,,100,,,,100,98,100,100,,,,,260,164,,,14.8,,2.92,11034,10050,895,-529,-529,,500.47,225,184,176,8,53,1.8,1.41,1.8,1.41,2.23,1.83,1.57,2.15,2.79,2.35,2.24,1.81
苏州,Suzhou,Jiangsu,2003,60,,3,,15914.32,43.6,50.84,11674.88,6273.78,,3539.5,1141.17,527.83,192.6,0.733608473,100,166.48,166.48,192.13,130.71,,,1273.01,78.12,1194.89,1273.01,2228.43,14,,424.63,33.03,720.97,,0.92,15.33,,208073,205969,,,99.91,99.93,,,,100,100,99.63,99.31,0.24,,,,5294.25,333,414.41,3306282,19.2,752000,4.73,124748.09,90054.29,10571.77,-4324.94,-4324.94,,1220.5,2495.69,725,725,,47,2,1.4,2,1.4,2.3,1.6,2.6,2,2.8,2.05,0.9,0.88
吴江,Wujiang,Jiangsu,2003,10,,1,,2789,7.64,10.7,2254,884,,963,407,,,0.808174973,100,17,17,363.3,208,,,,,,,535,19.2,,,,,,,,,21113,19639,,,99.3,99.5,,,,99,100,100,99,0.25,,,,508,182,455,790500,28.34,100500,4.32,10402,7874,3496,352,236,,713,303,112,110,,33,1.7,1.05,1.7,1.05,2,1.35,2.3,1.65,,,,
昆山,Kunshan,Jiangsu,2003,52,,2,,10863,29.76,40.94,8653,1413,281,3113,224,278,3344,0.796557121,100,35,35,415,171,,,619.92,6,613.92,613.92,2287,21.05,6.2,430.1,25.2,40.72,140.6,8.5,,,103901,920269,,,100,100,,,,100,100,100,100,0.26,,,,2213,198.43,420,1600919,14.75,331000,3.02,48051,39790,7860,2042,,,485,,228,228,,51,1.85,1.4,1.85,1.4,2.15,1.6,2.45,2,2.65,2.05,2.28,1.76
太仓,Taicang,Jiangsu,2003,20,,1,,4867.6,13.34,17.1,3745,1572.9,,1423.1,,,749,0.769372997,67,44.93,30.16,340,142,,,384,1,383,383,1217,25,12.8,38,25,259,2,,,70,25000,20000,,,99.9,99.9,,,,100,100,99.8,99,0.34,,,,1229,174,438,853360,17.5,76860,1.59,14052,12294,3300,-76,-76,,520,360,203,203,,50,2.05,1.55,2.05,1.55,2.25,1.65,2.85,2.25,2.85,2.25,2.39,1.82
常熟,Changshu,Jiangsu,2003,47.5,,2,,13445.46,36.84,47,11731.51,8468.73,,,,,,0.872525745,100,100,100,321.4,232.02,,,989.91,9.78,980.13,422.29,1669.29,12.42,29.3,92.85,2.2,13.08,,651.15,5,1.53,142382,129629,,,100,100,,,,100,100,100,99.66,0.29,,,,3406.03,243.13,405.89,4601165,31.98,353000,2.63,57590.34,46078.49,20703.76,2323.83,1514.67,,821.67,1591.5,334,334,,74,2.05,1.45,2.05,1.45,2.15,1.55,2.85,2.25,4.45,4,1.33,1.22
张家港,Zhangjiagang,Jiangsu,2003,28,,3,,8308,22.76,28.74,7307,867,244,957,190,335,4714,0.879513722,100,29.73,29.73,341,215,,,161,38,323,361,887,10.67,21.4,100.98,27.43,99.81,74.61,,,58.44,44968,43371,,,99.65,100,,,,100,100,100,100,0.24,,,,2114,253.17,405,1251984,14.47,184915,1.4,40335,29478,7986,315,155,,1157,1024,350,350,,64,1.95,1.35,1.95,1.35,2.15,1.65,2.65,1.95,4,2,,
南通,Nantong,Jiangsu,2003,60,,4,,14438.45,39.56,45.98,12197.94,6837.63,,4487.97,869.94,2.4,,0.844823371,91.05,83.01,75.58,402.64,230.33,,,1116.48,,1116.48,682.88,2112.09,14.63,12.55,,,,,,,,141367,138683,,,100,100,,,,100,100,100,99.68,0.25,9.86,355,35,3172.52,219.73,408.46,3249290,2.12,306566,20.23,49966.1,32220,9148.08,395.03,264.15,,730.96,1257.13,459,459,,134,1.8,1.38,,,2,1.53,2.4,1.9,2.9,,1.23,1.3
海门,Haimen,Jiangsu,2003,13.2,4.2,3,2,1465,4.01,4.3,1001.6,622.6,,238.8,83.4,,56.8,0.683686007,100,13.98,13.98,197,122,,,239.8,5,234.8,158.22,132,9,19.34,7.09,3.23,64.03,,14.34,57.69,93.4,49410,49142,,,99.9,100,,,,100,100,100,100,0.43,,12.4,,343.6,235,320,264000,17.2,79655,5.18,6815.1,4850,1278.3,85.6,85.6,,1171.48,290.1,222,222,80,24,1.56,1.18,1.56,1.18,2.05,1.52,2.92,1.9,2.49,1.7,1.36,1.06
东台,East Taiwan,Jiangsu,2003,10.5,0.5,1,1,1058,2.9,3.45,1026,374,230,231,143,21,27,0.969754253,100,14,14,207.1,74,,,230,1,229,147,216,20.4,2.3,0.8,1.7,,168.5,53,,26,,,,,,98.45,,,,97.9,100,97.7,96,0.25,,100,,195,184,,131050,12.4,56300,5.3,4717,3665,832,9,6,,1057.39,240,162,162,,,1.85,1.4,1.85,1.4,2.17,1.72,2.62,2.17,2.9,2.45,,
如皋,Rugao,Jiangsu,2003,10,,1,1,1424.23,3.9,4.74,963.78,513.36,,375.82,74.1,0.5,,0.676702499,98,10.5,10.3,378.97,156.26,,,497,,,,,,,2.04,0.37,1.1,10.44,56.22,,8.38,,,,,99.4,99.72,,,,99.44,98.1,98.38,100,0.23,25,30,7.5,356.87,250.49,,266842,18.23,48700,3.42,5298.16,3301.2,925.47,-51.18,,,1466,270.48,185,185,,26,1.4,1.15,1.4,1.15,1.6,1.5,1.9,1.7,2.15,1.9,,
扬州,Yangzhou,Jiangsu,2003,40.5,,5,,8362.08,22.35,26.24,6438.79,2856.85,447.9,1736.95,634.62,297.94,464.46,0.769998613,,,,294,,,,1021.33,,,541.3,1124.68,13.45,,,,,,,,,111236,103775,,,99.6,99,,,,100,100,100,100,0.32,,,,2409,288.15,394,343970,5.34,215538,3.35,60091.4,46768.86,7277.54,-615,,,1159.28,1430.69,815,815,,173,1.9,1.4,1.9,1.4,2.1,1.68,2.8,2.26,3,,1.15,0.9
江都,Jiangdu,Jiangsu,2003,9,,2,,1847,5.06,6.02,1357,550,180,343,92,100,92,0.734704927,99.3,19.72,19.59,256,138,,,,,177.84,177.84,490,26.5,8.89,12.5,5.83,1.21,,,158.3,,38098,34112,,,99.6,100,,,,100,100,98.5,99.46,0.27,,,,387.64,209.83,,11051,5.98,23049,1.79,8502,5807,1182,2.87,,,672.68,,,214,,,1.68,1.1,,,2.1,1.45,2.6,1.85,2.7,1.85,,
仪征,Yizheng,Jiangsu,2003,10,,1,,1545.22,4.2,5.5,1248.08,751.24,,242.05,141.21,113.58,,0.807703757,66.22,19.6,12,264,159,,,74.4,,74.4,47.8,292.09,18.9,,,28,,,36.4,,,1854,1245,,,99.73,99.46,,,,100,100,98.37,99,0.25,,,,396.08,148.96,425.6,83270,5.33,30820,1.99,,,1127.15,18.61,12.47,,901.1,184.16,158,141,17,29,1.73,1.22,2.18,1.64,1.94,1.42,2.18,1.64,2.58,2.02,1.89,1.38
盐城,Yancheng,Jiangsu,2003,26.8,,3,,5474.85,15,17.42,4284.06,2798.05,,684.7,665.19,146.12,,0.782498151,74.3,66.4,49.34,476.88,310.74,,,580.59,2.01,578.58,402.8,918.07,16.77,10.44,21.52,193.23,35.48,271.66,59.69,,,50726,47060,,,99.9,99.6,,,,100,100,100,100,0.25,,,,1510.47,258.95,420.27,532906,9.14,223847.17,3.84,29986.17,23872.81,4063.35,21,15,,962.71,1062,607,543,64,53,1.85,1.4,1.85,1.4,2.05,1.6,2.5,2.05,2.8,2.35,1.25,0.85
大丰,Dafeng,Jiangsu,2003,4.5,0.5,1,,1054,3,,774,370,,278,56,70,,0.734345351,100,10,10,,,1,5,42.9,,,15.9,280,27,,,,,,,,,4898,,,,98,98,,,,99.2,98.9,98.8,100,,,,,263.7,,,108050,,33000,,1776,,1238,20,,,1291,199,151,151,,,1.85,1.45,,,2.15,1.75,2.25,2.15,2.65,2.25,,
徐州,Xuzhou,Jiangsu,2003,49.2,49.2,3,2,8505,23.3,28.08,6807,1910,673,1641,1525,114,944,0.800352734,100,118.4,118.4,157.5,119.5,1,10,891.9,59.8,832.1,680.7,1288,15.15,10.02,273.9,61.4,366.5,5.9,12.98,136.62,64.6,67910,62129,,,98.49,99,,,,100,100,100,98.49,0.24,,,,3238,,240,1183150,29.76,402731,3.3,57237,25394,8210,-1798,-1798,,1470.34,1554,996,996,,230,1.9,1.4,2.4,1.85,2.55,2,3.15,2.55,4.7,4,1.27,1.06
铜山区,Tongshan District,Jiangsu,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
邳州,Pizhou,Jiangsu,2003,4.6,3,2,1,604,6,1.9,405,322,39,39,5,,,0.670529801,55,20,11,,80.2,1,10,230,,,96.8,169,28,,,,160,46,23,,,12000,10000,,,98.8,100,,,,100,97,98,100,0.27,,,,180,258,,,,,,1541,1249,430,-113,-113,,1250,235,221,197,21,52,1.05,0.95,1.4,1.05,1.6,1.25,1.95,1.6,0.5,0.5,1.3,1.07
连云港,Lianyungang,Jiangsu,2003,30,,3,,5632.3,15.43,18.09,4637.01,2392.9,112,1415.09,659.35,12.65,44.99,0.823288887,91.69,64.74,59.36,214.02,115.64,,,733.05,0.18,732.87,732.87,995.3,17.67,11.99,186.67,5.91,130.18,154.43,61.45,,194.22,34712,30837,,,99.85,99,,,,99.67,99.67,98.83,100,0.25,15,63,9.45,1806.08,320.67,492.62,1347505,23.92,235415,4.18,36725.5,23466.45,4847.97,-1028.86,-1028.86,,1122.68,1240,788,634,154,188,1.85,1.4,1.85,1.4,2.27,1.81,2.64,2.16,4.22,3,2.09,1.63
常州,Changzhou,Jiangsu,2003,71,,7,,12208.75,6,41.89,10518.22,5391.78,,3461.11,1665.33,,,0.861531279,93.63,119.62,112,331,170,,,1687.29,,1687.29,972.82,1596.77,13.08,0.71,,113.47,842.49,29.42,175.44,,526.47,182589,174704,,,99.95,99.9,,,,100,100,99.9,99.89,0.25,,622,,5199.51,425.88,415.58,3847312,27.46,402731,3.3,66871.81,45807.93,1073.04,0.55,0.55,,1044.29,1675.7,707,707,,190,2.3,2,2.3,2,2.5,2.5,2.65,2.65,,2.65,,
武进区,Wujin District,Jiangsu,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金坛,Jintan,Jiangsu,2003,5,,1,,1215.86,3.33,4.09,1054.19,495.15,,341.54,111.68,37.69,68.13,0.867032389,100,11,11,263,177,,5,334.78,2.8,331.98,167.69,132.29,10.88,24.6,83.48,3,3,73.21,5,,,27194,26870,,,99.75,100,,,,100,100,92.02,99.7,0.25,,,,275,226,,216300,11,47000,4,6815.22,4204.43,1202.43,95.82,19.38,,491.14,320.83,148,133,15,48,0.92,0.92,0.92,0.92,1.36,1.21,1.57,1.42,1.82,1.67,1.12,1.1
溧阳,Liyang,Jiangsu,2003,8,,2,,1968.88,5.47,6.44,1474,740,169,404,118,43,,0.748648978,100,14.99,14.99,237,137,,,320,34,286,322,495,25.14,22.84,,25.75,6.44,289.66,,,,37543,35110,,,100,100,,,,100,100,100,99.8,0.23,,,,361,183,495,72226,3.5,42408,2.15,9173,4192,1646,0.02,,,1078,380,347,347,,105,2,1.5,2,1.5,2.35,1.85,2.55,2.15,2.85,2.45,2.07,1.89
泰州,Taizhou,Jiangsu,2003,20,,3,,3991.73,10.94,12.92,3333.1,1358.36,362.2,1059.57,536.11,16.63,0.2,0.835001365,100,33.75,33.75,270.57,110.27,,,604.33,32.33,572,344.73,658.64,16.5,16.11,113.6,16.14,184.59,24.81,3.32,2.27,227.27,,,,,99.7,99.8,,,,100,100,99,100,0.29,10,37.51,,1109.19,260.78,390,,3.18,,2.69,40245,35351,4097,-2354,-2354,,2176,526,331,295,36,123,1.9,1.55,2.2,1.85,2.45,2.05,2.7,2.35,3.35,3,1.42,1.42
泰兴,Taixing,Jiangsu,2003,9.8,,3,,2269,6.22,6.9,1636,579,164,279,222,36,356,0.721022477,97,21,20.3,,78.14,,,233.5,8.5,225,234,635,28,4.46,,,,,,,,34642,33047,,,98,100,,,,100,100,96,100,0.28,5,47.98,2.52,733,144,416,112820,5,28828,1.3,6421,856,1549,-504,-504,,1400,153,398,259,139,96,1.65,1.4,1.8,1.4,1.9,1.6,2.2,2,3,2.5,1.8,1.54
靖江,Jingjiang,Jiangsu,2003,10,,1,,2894,7.92,9.47,2413,717,117,756,176,5,642,0.833794057,100,20,20,330,98,,,111,,111,13,481,16,,10.2,2,,,98.68,,,8648,8228,,,100,100,,,,100,100,100,99,0.24,,,,706,97,147,345500,11.94,100500,4.32,12317,8355,2200,6.9,4.6,,959,295,296,296,,50,1.65,1.4,1.8,1.8,1.9,1.5,2.2,1.8,3,1.95,2.11,1.51
姜堰,Ginger weir,Jiangsu,2003,5,,1,,1488,3.2,4.5,1266,633,,144,185,44,260,0.850806452,98,17.3,17,162,102,,,,,223,223,,,,20,1.6,0.7,,,,,,,,,100,100,,,,100,100,100,100,,,,,224,188,,128725,11,47000,4,5530,3791,967,35,24,,934,151,92,92,,23,1.7,1.35,1.7,1.35,2.1,1.6,2.5,2,3.1,2.1,2.22,1.68
兴化,Xinghua,Jiangsu,2003,7,,2,,1248.8,3.42,4.5,997.4,557.2,,272,168.2,,,0.798686739,100,18.1,18.1,,84.34,,,142.8,,142.8,142.8,422.4,33.82,11.7,,,,,,,,27926,27629,,,99.99,100,,,,100,100,100,98.8,0.29,,,,337,270,,45815,3.33,40214,0.92,3775,2424,789,52.6,35.2,,660.13,250,149,149,,23,1.35,1.15,,,1.55,1.35,1.95,1.75,2.15,1.95,1.75,1.55
杭州,Hangzhou,Zhejiang,2003,143,,6,,38529,105.56,125.9,30877.56,12583.4,,8311.79,2698.19,,1267.25,0.801410885,96.3,197.34,190,466.4,307.1,,,2639,18,2621,2006,5788.03,15.02,7.3,,,,,,,,104455,94258,2805,7392,99.99,99.97,,,,100,100,100,100,0.26,,360,,9534.23,261.88,411,7686259,21.11,867100,2.38,245434.8,146221.4,41160,-3232.6,-3383.6,,1241,4770.5,1449,1449,,340,1.55,,1.95,,1.95,,1.95,,2.3,,1.27,
杭州萧山区,Hangzhou Xiaoshan District,Zhejiang,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杭州滨江区,Hangzhou Binjiang District,Zhejiang,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杭州余杭区,Yuhang District of Hangzhou,Zhejiang,2003,26,,5,,5160,14.14,19,4231,1474,454,1980,323,,,0.81996124,76,66.6,51,230,122.6,,,756,39,717,669,929,18,0.86,,,,,,,,145772,94748,,,99.7,99.8,,,,100,100,99.4,99,0.25,,875,,1758,416,,1561760,30.27,156359,3.03,34969,25681,5750,-1079,-1079,,1796,809,471,395,76,79,1.25,,1.6,,1.45,,2,,2.3,,1.46,
建德,Jiande,Zhejiang,2003,5,,1,,828,2.27,3.4,737,406,49,183,96,,3,0.890096618,100,7,7,272,159,1,10,70,,70,63,91,11,8.8,22.8,9.09,32.3,5.94,0.15,,,6204,5452,515,237,99.96,99.8,,,,100,100,100,98,0.28,50,8,4,188,206,,,,8870,1.07,3479,3297,587,-67,-67,,1016.27,179,80,80,,34,1.1,,1.3,,1.4,,1.4,,1.9,,0.95,
富阳,Fuyang,Zhejiang,2003,21,,3,,2585,7.08,10,2000.3,1117.9,201.5,615.4,62.9,,2.6,0.773810445,100,19.6,19.6,193,156,,,232.4,16.1,216.3,216.3,584.7,22.6,4.3,127.3,7.74,92.25,2.69,2.12,,0.3,27693,22529,5164,,99.95,100,,,,100,100,100,99.3,0.31,,50,,687,265.8,524.3,410760,15.9,112970,4.4,18826.8,14255.6,2279.1,164.1,164.1,,1529.46,457.9,185,164,21,54,1.2,,1.8,,2,,2,,2.5,,1.16,
临安,Lin'an,Zhejiang,2003,10,,2,,2193.2,6.01,7.3,1781.8,710.9,391.6,520,116.4,,42.9,0.812420208,100,22.57,22.57,216.3,86.3,,,264.97,,264.97,264.97,1091.12,30.94,1.25,,,,,,,,80185,76557,3628,,100,100,,,,100,100,100,97.5,0.3,,10.53,,21.43,17,,30000,2.3,46000,3.53,7039,4375,1681,175,117,,1196,211,74,12,62,4,1.3,,1.65,,1.65,,2.2,,2.4,,1.36,
宁波,Ningbo,Zhejiang,2003,86,,6,,26451.62,99.87,86.1,21856.18,5957.22,1570.1,8595.25,2507.97,,3225.64,0.826269998,100,108.84,108.84,550.2,270.7,,,1352.19,114,1238.19,1238.19,4115.44,15.56,11.31,,,,,,,,239808,163464,,,98.98,99.12,,,,99.4,98.1,100,99.69,0.29,,180,,6456.89,234.69,428.8,5528845,20.1,1319209,4.79,173722.28,124426.75,22399.45,-3113.73,-3113.73,,1242.73,3694.3,1201,1201,,297,1.2,,1.3,,1.5,,1.9,,2.2,,1.025,
余姚,Yuyao,Zhejiang,2003,14,,3,,3567,9.77,12.8,2869,1099.16,99,1350,175,,146,0.804317354,100,35,35,224.5,107.4,,,612,44.3,567.7,283.1,698,19.57,14.19,92,171,53,240,,,,234562,18082,5480,,99.45,97.59,,,,100,99.65,100,99.5,0.28,25,40,10,576,161.49,158.6,193170,5.42,71659,2.01,22414,18856,3706,156,105,,1320,579,212,201,11,76,1.15,,1.45,,1.45,,2.05,,2.05,,1.29,
慈溪,Cixi,Zhejiang,2003,15,,4,,4428,12.13,16,3531,1999,107,887,457,,81,0.797425474,100,69,69,140,102,1,20,410,7,403,403,677.8,15.3,9.37,138,20,142,62,36,,,111745,95048,422,16275,98.81,99.3,,,,99.8,99,97.7,,0.13,,350,,716,161.7,418,,,82361,1.86,11674,8237,4968,313,200,,1324,829,313,313,,105,1.5,,1.5,,1.7,,2.4,,2.4,,1.43,
奉化,Fenghua,Zhejiang,2003,8,3,2,1,1925,6,6.9,1601,735,86,523,218,,39,0.831688312,100,11,6,398,183,,,209,8,201,138,324,16.83,15.5,40.08,8.35,26.11,88.37,46.13,,,28442,25196,3246,,99.82,100,,,,100,99.8,99.5,98.69,0.3,,13,,79,41.24,77.9,215600,11.19,27337,1.42,9533,7202,1586,55.66,37.29,,980.65,404,234,215,19,40,1.15,,1.4,,1.5,,2.2,,2.2,,1.38,
温州,Wenzhou,Zhejiang,2003,59.5,,3,,16287.19,44.62,57,11627.55,5071.25,489.83,5456.77,556.79,,52.91,0.713907678,100,178.7,178.7,178.3,94.6,,,811.67,27,784.67,784.67,3266.78,20.06,5.41,247.96,35.31,474.73,,24.32,2.35,,60568,51323,8659,586,99.39,98.83,,,,99.9,99.9,99,99.1,,13.8,145,20,2195,134.79,406,496456,3.05,310750,1.91,75549,51779,23092,-1708,-1708,,2144,1854,663,615,48,194,2.1,1.75,1.8,1.8,2.65,1.9,2.45,2.5,5,,1.98,
瑞安,Ryan,Zhejiang,2003,13,,1,,3526.39,9.66,11.6,2390.09,1430.49,200.93,576.84,181.83,,,0.677772453,32.5,112.52,36.57,179,135,,,264.97,,264.97,264.97,1091.12,30.94,1.25,,,,,,,,80185,76557,3628,,99.35,98.35,,,,100,100,99.07,99.35,0.21,17.9,212.3,38,1116.39,316.58,27.26,141370,4.01,68399,1.94,34433.55,27433,4825.31,45.74,41.9,,2004.96,569.34,329,321,8,136,1.82,,2.04,,2.31,,3.53,,3.53,,1.97,
乐清,Yueqing,Zhejiang,2003,12,,2,,3132,8.58,9.2,1922,1265,123,289,142,,103,0.61366539,100,44,44,120,100,,,265,,265,265,1128,36,6.3,,,,,,,,16370,4428,11942,,99.52,98.16,,,,100,99.8,99.6,96,0.18,,42,,450.9,144,66.3,46167,1.47,52600,1.68,12831,8860,2752,127,85.09,,1334,604,274,274,,30,1.5,,1.9,,2.3,,2.6,,3.2,,1.43,
嘉兴,Jiaxing,Zhejiang,2003,20,,2,,4431.21,12.14,14.77,3753.41,1312.83,550.7,1308.9,572.47,,8.51,0.847039522,100,31.3,31.3,328.5,114.9,,,410,7,403,403,677.8,15.3,9.37,138,20,142,62,36,,,111745,95048,422,16275,98.6,98.5,,,,100,100,99.1,100,0.31,,43,,1054.44,211.68,420,1001733,21.6,186294,4,21115.87,10797.63,4632.77,103.34,21.57,,1174.17,608,254,217,37,50,1.15,,1.4,,1.25,,1.9,,1.9,,1.34,
海宁,Haining,Zhejiang,2003,6.2,0.2,2,,2636,7.22,5.7,1525,527,38,774,80,,106,0.578528073,100,12,12,306,130,,,195,,195,110,111,6.78,12.19,74,8,88,25,,,,21110,15768,5342,,99.8,100,,,,100,100,100,100,0.32,,25,,332.35,190,422,618000,35.38,82000,4.69,9914,5957,1484,186,85,,930,336,145,144,1,26,1.1,,1.5,,1.5,,1.8,,,,1.18,
平湖,Pinghu,Zhejiang,2003,5.9,3.4,2,1,1368,3.75,4.6,1079,398,85,402,194,,,0.78874269,75,12,9,328.4,206,,,164,,164,109,204,15,19.3,,,,,,,,26854,24857,1997,,99.1,100,,,,100,100,100,99,,,10,,542.14,396,,,82,,7,4800,3499,1373,212,159,,982.39,280,148,147,1,28,,,,,,,,,,,1.27,
桐乡,Tongxiang,Zhejiang,2003,8,,1,,2822,7.73,10,1522.9,692,150,615.4,62.9,,2.6,0.539652729,100,19.6,19.6,193,156,,,259.93,,259.93,259.93,577,20.45,3.25,96.74,17.69,79.3,66.2,,,,21329,19021,2308,,99.7,99.6,,,,100,100,99.3,99,0.2,,80,,708,251,433,670865,23,119304,4,7080,5144,3169,32,15,,1518,267,177,176,1,31,1.35,,1.7,,1.7,,1.7,,2.15,,1.48,
